"","Mean","SD","Naive.SE","Time.series.SE","X2.5.","X25.","X50.","X75.","X97.5.","ESS","Rhat"
"E_Rkr_a",1.48595584809381,0.292229968730893,0.00533536486176464,0.00526004486239502,0.907375041862694,1.29311266384989,1.48299537684459,1.67561126016358,2.067882164502,2735.50807335477,1.00028398007929
"Rec[1,1]",563.974442311582,184.782583782005,3.37365297904974,3.30280542602941,281.750952397417,434.367574056323,539.134192983975,662.970044372246,994.134222511103,3088.64471914873,1.00063841503215
"Rec[2,1]",151.858678199635,129.052697347408,2.35616911480207,2.54069767761658,10.3997993364107,58.8971309322699,118.236844038806,204.372925166009,482.18979717082,2616.45023786965,1.00079966009641
"Rec[3,1]",305.306593011702,138.589055951106,2.53027840559222,2.52765742357764,99.4233110743698,202.368266686207,287.014360412587,385.20741927893,625.09013647088,2881.73313557441,1.00074809736112
"Rec[4,1]",79.755745554552,65.8232901274097,1.20176336039965,1.22185979254971,5.06023844827357,32.1453590470686,62.7780909497821,107.986349168503,250.673492618926,2745.81033267768,1.00071043321726
"Rec[5,1]",587.641922583516,159.823909089444,2.91797200789811,2.84296728330943,328.155795424697,471.049315116778,573.95038664119,680.374906890898,942.132524867085,3121.12212132766,0.999967032943101
"Rec[6,1]",287.241256539534,97.8756436778526,1.78695659575659,1.81750003783946,135.045250045406,217.834268411907,275.121396946985,339.601080833551,519.151765376206,2596.56296117636,1.00048261484787
"Rec[7,1]",515.72803161962,157.047209975826,2.86727664990034,2.99767600424657,264.195557628327,398.753636707049,501.932733617734,609.737084733443,875.209592056184,2331.19182942299,0.999723285553814
"Rec[8,1]",137.32034575123,68.692489044999,1.25414752603741,1.29184044764784,37.8414978307562,88.0665480779982,123.659257214686,174.715192699068,303.791809043356,2796.20907248134,1.00077904365653
"Rec[9,1]",566.500083133942,175.678420989142,3.20743446808807,3.07987090800424,272.653097916673,438.148024747456,550.576116497498,670.313162347089,957.63710423846,3074.39847680954,0.999858814101491
"Rec[10,1]",345.335846353599,117.745034743571,2.14972038544278,2.27439999217254,166.070225350066,260.694079328687,328.69622000755,412.451120933702,616.524376773738,2672.17829399566,1.00063379411441
"Rec[11,1]",1126.82943553303,278.923567082092,5.09242431702224,5.03398769958152,657.548940153778,928.315159491609,1094.63888820891,1294.57890670697,1731.30176494905,2860.53426950048,0.999751952469846
"Rec[12,1]",218.919186834027,88.0075258698494,1.60679023830453,1.60673474736877,87.3613953208993,153.668988512517,206.01667062555,269.777048651238,427.686745189963,3012.54986071953,1.00035672292734
"Rec[13,1]",1258.26856549022,311.254474726498,5.68270323107082,5.35439152618307,750.683450704431,1036.62671564998,1231.71843883121,1441.79717897685,1975.1168031085,2981.54518476029,1.0006390521376
"Rec[14,1]",359.428545548286,116.575975832081,2.12837638754694,2.17080482902563,177.733344865171,274.354717069959,345.560430925843,426.370237459841,632.654050702701,2873.64405896428,1.000172520173
"Rec[15,1]",262.893681773844,61.1772994949236,1.1169395646873,1.10946611445789,159.78508139266,219.3856244657,256.341058894459,298.855445596045,400.729049078018,2923.47696662957,1.00048360338828
"Rec[16,1]",399.692461492522,114.218939832767,2.08534299469105,2.09056050088466,214.4726951402,316.211320681809,387.755005529071,468.226993377107,652.26140192982,2781.23771899178,1.00093167401419
"Rec[17,1]",522.069802491694,169.129717629937,3.08787204967985,3.04606208914779,266.483254552548,400.567813912721,496.589173071803,614.165729393894,928.98968539027,2910.08949074373,1.00009597671169
"Rec[18,1]",458.066050845359,121.121656565885,2.21136878345096,2.21226349217432,269.953479522141,373.597119342351,442.975497209822,528.122156902307,734.964780509252,2802.84803149785,1.00006537983109
"Rec[19,1]",414.118628486471,116.314771987874,2.12360747962762,2.06119103616508,223.052742021177,329.431391653503,401.277760763801,482.73426148428,675.734931612242,2969.98562995223,1.00035564684668
"Rec[20,1]",340.121619487298,121.451279867963,2.21738685405188,2.15433258214301,148.975727142243,255.321029905742,323.877025165524,407.25023109029,626.556549825724,3019.07715959109,0.999794815104701
"Rec[21,1]",240.180338078288,89.8565764933762,1.64054912952035,1.55110142243971,100.364448452897,175.145831656444,229.034886225926,288.939157648682,452.333441091189,3031.20054027621,1.00048640780782
"Rec[22,1]",857.499111766672,218.874133350224,3.99607666967706,3.99438335148939,497.122460795683,700.10370211325,837.138457860313,981.163971410451,1355.12023977938,2918.85959694396,1.00130282620429
"Rec[23,1]",903.54467111322,223.111458132018,4.07343928189252,4.07244336024689,523.579301359292,747.162312721484,883.172848700649,1041.58275129315,1393.23667839607,2737.677470004,1.00013640348688
"Rec[24,1]",116.97413717568,77.9073565833387,1.42238721987644,1.48887158317496,17.5039610207056,59.7384399889962,100.005431206638,153.382775712644,315.386597230498,2582.72214753599,1.00082937703301
"Rec[25,1]",1164.97575562844,293.358666126597,5.35597196257213,5.23880067170151,680.488459653223,955.012800609536,1133.93808208786,1336.23211578141,1800.47164999779,3168.88845875357,0.999943239727116
"Rec[1,2]",3477.3201149212,891.271319786,16.2723135568064,16.2762951892669,2054.95113665064,2848.27153600517,3384.79203310061,3981.94953495776,5544.76605933827,2858.08796295365,0.999924830491023
"Rec[2,2]",3411.05837305456,697.931355954283,12.7424249082109,12.5021145184354,2213.26193141961,2921.41118400968,3351.16394657192,3808.21225322759,4992.16746132591,3034.6999814666,1.00001108707227
"Rec[3,2]",2758.13392087267,655.798977613401,11.9731964409228,11.9724746638445,1695.81556452453,2289.44301166491,2680.34144340223,3145.95985460024,4257.78903293184,3085.94219277649,0.999703325037984
"Rec[4,2]",1997.36671218762,396.600407464836,7.24089964947436,6.95622491289471,1350.18530857367,1712.59369308533,1967.79061802222,2241.74697374644,2850.90507815477,3017.17753496152,1.00046316538363
"Rec[5,2]",4411.50267548344,864.334503991776,15.7805168355445,15.4606496787084,2994.66829966324,3814.96999075702,4305.40148181459,4897.59979580301,6351.98238492711,2714.67460545996,1.00261489914803
"Rec[6,2]",4462.32128227899,819.889749163028,14.9690703427948,14.974871392934,3036.53241156788,3883.07110351721,4396.12891022494,4942.22635489006,6259.68013141388,3001.22515463489,0.999679111832841
"Rec[7,2]",2140.77222509282,442.849628463073,8.08529103640024,7.80301633181713,1388.97708851492,1828.34492746953,2096.6374892164,2396.82143652694,3114.34884216991,2928.31593882945,1.00002112455086
"Rec[8,2]",2406.97062938353,485.372033014647,8.86164037547548,8.70918042105814,1571.6012318516,2059.43515465176,2366.92900614281,2715.75517974481,3457.51487592767,3089.80074844278,1.00090935217949
"Rec[9,2]",4923.56925583327,922.079273822971,16.8347872693608,16.3278589804363,3327.39804064803,4273.27188522029,4877.85513244391,5492.71217312341,6888.81950582723,3043.25851443853,1.00020103372186
"Rec[10,2]",5441.64949516219,1060.4595621337,19.3612541167559,19.67364664022,3634.17462583582,4676.08558321246,5373.30362094902,6100.53533962952,7727.62225616176,2884.1625088976,0.999980871624692
"Rec[11,2]",6282.60120792048,1198.12365468342,21.8746450783546,21.881683345194,4206.51162395845,5443.58865923416,6206.55054560989,7034.8950335099,8865.3523931062,3001.5820479596,1.00008976624314
"Rec[12,2]",2706.94705952859,558.809362350798,10.2024164368203,9.83955295812193,1774.56472016313,2301.32903598675,2662.35301111816,3028.61641931981,3933.77437599559,2986.17532857617,1.00009123382165
"Rec[13,2]",5693.6346722374,1041.8599752608,19.0216736737371,18.7581396382866,3898.55428778503,4951.42718960045,5635.37808579001,6320.51938435809,7997.08841516738,2854.51271957962,1.00038215162727
"Rec[14,2]",7429.01570859299,1241.84595437915,22.672901405333,22.3923967498391,5197.05716300907,6578.58356854981,7348.3089959049,8195.13737078682,10167.6608913804,3027.20658091167,1.00004739342505
"Rec[15,2]",2130.60116411252,406.378363181706,7.41941987988825,7.41892248937088,1439.562246906,1853.41524058206,2088.73256775982,2372.29310470998,3032.64346846592,2963.88682189731,1.0006788637989
"Rec[16,2]",2967.38058897126,591.836449505012,10.8054057915887,10.8106299789393,1985.82750332928,2550.76879077314,2908.22955000943,3311.61151727522,4326.73342109252,3001.96169394635,0.999767313808485
"Rec[17,2]",7534.92818573451,1331.37898469008,24.3075434167694,23.4924344269774,5263.14301667288,6625.75753977566,7381.77750915903,8289.78478920288,10548.5721148778,3126.20661136646,0.999944256860677
"Rec[18,2]",4959.64690096231,890.774047617557,16.2632346506772,15.8854927195014,3440.98914332537,4346.62049436726,4906.78201233928,5486.60265697931,6938.58108841569,3034.59437316484,0.999945027741173
"Rec[19,2]",2379.39066051476,458.550942278287,8.37195649503557,9.21486729963823,1601.79661169769,2062.56685657385,2332.58068887483,2657.28834531213,3409.06957758116,2912.79646506956,0.999886008187085
"Rec[20,2]",5795.62912208986,1018.9568612325,18.6035219340568,18.1764086387832,4041.69985786025,5100.37664470114,5700.89053570631,6412.64709338703,8072.69335164814,2853.38168597504,0.999946973266375
"Rec[21,2]",4094.40031771847,776.052152995097,14.1687089998622,14.1727934468104,2802.29144984758,3554.97844748517,4024.38494269307,4560.99284270714,5825.75485629167,2955.22312278889,1.00010731125568
"Rec[22,2]",5215.59113952925,975.417021079312,17.808596847321,17.808864292951,3455.63261340838,4523.34036184632,5147.56925003195,5817.56901556608,7276.15057171003,2972.85093724894,1.00055396148218
"Rec[23,2]",2939.59750086038,618.056796460743,11.2841216413643,11.8265043838984,1891.70655793535,2509.43598012845,2879.37791072238,3323.18604133088,4273.80301948326,2702.56860364219,1.00006654792664
"Rec[24,2]",4833.14014532692,1011.82222667212,18.4732619244476,18.518074525545,3110.59746779978,4120.85706354325,4727.15040327773,5442.44888817296,7087.05550604321,2906.68277379117,1.00009595798098
"Rec[25,2]",5497.53182927904,2640.62566574131,48.211008101787,47.0401871631493,1910.27792403225,3658.71620775438,4995.05374291663,6790.08486853868,11949.7776983816,3000.33638152369,1.00094182473424
"Rec[1,3]",10432.4094414523,1951.57616037009,35.6307428574673,34.0419322115228,7111.31333534377,9101.40590615947,10242.6027912874,11565.5706813659,14822.7064893659,3290.69091847991,1.00104214010002
"Rec[2,3]",9132.19559344654,1846.88341297104,33.7193235455456,34.1975408872464,6081.76701868012,7863.85746228706,8988.59815125266,10183.5109692546,13273.5825776717,2985.39762641163,0.999746595432634
"Rec[3,3]",10484.3045879634,1861.32334936997,33.9829595087,32.9048791929231,7301.52705312951,9111.98975909232,10340.9868291935,11636.9792462501,14555.68546235,2921.39507648982,1.00005133587898
"Rec[4,3]",4442.89318398019,867.86474702266,15.8449699602608,15.2697502211609,3026.17425883537,3838.24628482079,4335.17828310734,4928.99944664565,6430.1365520584,3117.31530733309,1.00135786112278
"Rec[5,3]",17042.1369035447,2825.66277481285,51.5893080555879,52.321934487716,12146.2008104234,15093.1222404422,16778.3298103963,18778.8078333449,23122.0020274925,2812.7968632033,0.999998113838059
