"","2.5%","50%","97.5%"
"Sp[1]",4045.69442629599,7307.05757361334,13826.8648385719
"Sp[2]",3261.17555934265,5875.42288250351,10852.5832567626
"Sp[3]",3381.50494623583,5599.91303582868,9247.04553086842
"Sp[4]",3472.9781746818,5541.22154278599,8848.17663303616
"Sp[5]",7896.32698690955,11075.3426479956,15794.0133032839
"Sp[6]",5568.18957443322,7907.98795708417,11498.2809793463
"Sp[7]",8269.58340734986,11558.9636491296,16405.1113234288
"Sp[8]",5435.42082811151,7715.61448852199,11155.1394224737
"Sp[9]",11073.5916184597,15349.948510817,21275.8006802432
"Sp[10]",11331.4770006631,15725.3811095251,21945.9666730376
"Sp[11]",9668.95191760873,13555.9938511369,18606.7742887808
"Sp[12]",7421.62844350361,10461.5231530641,14613.2376412371
"Sp[13]",10395.5106238728,14966.7979606766,21048.3873399735
"Sp[14]",9666.28314657187,13848.6982397803,19233.2026128895
"Sp[15]",10356.3227307488,14999.9562133565,21686.449878591
"Sp[16]",6467.80184266326,9212.39540485144,12784.5849699879
"Sp[17]",8290.36339366078,11441.1926079006,15900.4651306756
"Sp[18]",6003.38207081103,8469.18671254411,12188.0705440741
"Sp[19]",6116.16155275059,8602.5040875858,12338.0555104599
"Sp[20]",4704.64928636203,6508.94022357716,9220.02810948519
"Sp[21]",9491.64599067736,13315.670873429,18458.6191230922
"Sp[22]",8382.41110456943,11475.2904198514,15826.7409844238
"Sp[23]",7061.58885839821,9808.92118297695,13431.801143632
"Sp[24]",8099.95283346225,11475.2588204011,15793.9958621042
"Sp[25]",9260.7591102097,13164.3046862999,18062.873203633
"Sp[26]",10051.9978501502,14127.7778853894,20078.2158729629
"Sp[27]",8021.33557887753,11619.9138353994,16971.6777047091
